State,Winning Party,Difference,DEM total votes,REP total votes,Winning % margin,Margin
Alabama,REP,591520,849648,1441168,25.82136671,-25.82136671
Alaska,REP,36487,153405,189892,10.62840631,-10.62840631
Arizona,DEM,10457,1672143,1661686,0.313663358,0.313663358
Arkansas,REP,336715,423932,760647,28.42486656,-28.42486656
California,DEM,5103803,11109764,6005961,29.81937955,29.81937955
Colorado,DEM,439745,1804352,1364607,13.87663898,13.87663898
Connecticut,DEM,365389,1080680,715291,20.34492762,20.34492762
Delaware,DEM,95665,296268,200603,19.25348833,19.25348833
Florida,REP,371686,5297045,5668731,3.389509324,-3.389509324
Georgia,DEM,11779,2473633,2461854,0.238659326,0.238659326
Hawaii,DEM,169266,366130,196864,30.06532929,30.06532929
Idaho,REP,267098,287021,554119,31.75428585,-31.75428585
Illinois,DEM,1429227,4253153,2823926,20.19515396,20.19515396
Indiana,REP,487357,1242495,1729852,16.3963696,-16.3963696
Iowa,REP,138611,759061,897672,8.366526169,-8.366526169
Kansas,REP,199431,558669,758100,15.1454811,-15.1454811
Kentucky,REP,554172,772474,1326646,26.4002058,-26.4002058
Louisiana,REP,399742,856034,1255776,18.92888091,-18.92888091
Maine,DEM,70574,430473,359899,8.929213079,8.929213079
Maryland,DEM,1008609,1985023,976414,34.05809409,34.05809409
Massachusetts,DEM,1215000,2382202,1167202,34.23109908,34.23109908
Michigan,DEM,154188,2804040,2649852,2.827118689,2.827118689
Minnesota,DEM,233012,1717077,1484065,7.279027297,7.279027297
Mississippi,REP,217366,539398,756764,16.76997165,-16.76997165
Missouri,REP,465722,1253014,1718736,15.67164129,-15.67164129
Montana,REP,98816,244786,343602,16.79436018,-16.79436018
Nebraska,REP,182263,374583,556846,19.56810449,-19.56810449
Nevada,DEM,33596,703486,669890,2.44623468,2.44623468
New Hampshire,DEM,59267,424921,365654,7.496695443,7.496695443
New Jersey,DEM,725061,2608335,1883274,16.14256717,16.14256717
New Mexico,DEM,99720,501614,401894,11.0369803,11.0369803
New York,DEM,1993776,5244006,3250230,23.47210508,23.47210508
North Carolina,REP,74481,2684292,2758773,1.368365066,-1.368365066
North Dakota,REP,120693,114902,235595,34.43481685,-34.43481685
Ohio,REP,475669,2679165,3154834,8.153395295,-8.153395295
Oklahoma,REP,516390,503890,1020280,33.88007899,-33.88007899
Oregon,DEM,381935,1340383,958448,16.61431397,16.61431397
Pennsylvania,DEM,81660,3459923,3378263,1.19417635,1.19417635
Rhode Island,DEM,106373,306210,199837,21.02037953,21.02037953
South Carolina,REP,293562,1091541,1385103,11.8532175,-11.8532175
South Dakota,REP,110572,150471,261043,26.86955972,-26.86955972
Tennessee,REP,709035,1143913,1852948,23.65925547,-23.65925547
Texas,REP,631221,5259126,5890347,5.661442474,-5.661442474
Utah,REP,304858,560282,865140,21.38721024,-21.38721024
Vermont,DEM,130116,242820,112704,36.59837311,36.59837311
Virginia,DEM,451138,2413568,1962430,10.309374,10.309374
Washington,DEM,784961,2369612,1584651,19.85100637,19.85100637
West Virginia,REP,309398,235984,545382,39.59706463,-39.59706463
Wisconsin,DEM,20608,1630673,1610065,0.635904538,0.635904538
Wyoming,REP,120068,73491,193559,44.96086875,-44.96086875
